Site Longitude   Latitude   Height      Nvel     Evel     Uvel   Nerr   Eerr   Uerr
00na 130.84398637 -12.46664142  104.850    58.62    36.08    -1.32    0.2   0.16   0.61 
019b 139.54765863 39.18556339   45.224    -14.2    29.34    -0.68   0.29   0.82   0.22 
01na 130.98204602 -12.47822531  105.392    59.36     35.9    -3.03   0.24   0.23   0.82 
02na 130.88172798 -12.35592436  117.655    59.77    36.13    -1.78   0.23    0.2   0.91 
7odm 242.90680775 34.11640697  762.090     6.19   -27.44     0.87   0.09   0.14   0.24 
ab01 185.79524352 52.20950474   25.463   -23.68     -6.4     1.92   0.22   0.12   0.23 
ab02 191.14532973 52.97060558  192.787   -20.96    -8.18     1.61   0.12    0.1    0.2 
ab04 189.43255681 63.65686471  136.566   -23.81    -0.84    -0.82   0.15   0.13   0.37 
ab06 196.57654628 54.88532291  500.411   -21.97    -7.54     1.34   0.15   0.13   0.22 
ab07 199.52324326 55.34927663   89.574   -16.66   -12.71     -0.4   0.11   0.05   0.17 
ab08 193.79914286 60.38483211   26.514   -26.83     0.75    -0.34   0.48    0.6   0.27 
ab09 191.93787479 65.61498158  162.087   -23.82    -1.16    -0.25   0.12   0.11   0.31 
ab11 194.62654147 64.56449656  349.455   -24.29    -1.79    -0.58   0.25   0.12   0.34 
ab12 198.25373849 58.95079542  587.113   -22.41    -6.62    -0.56   0.68   0.55   1.17 
ab13 201.49620635 56.30732638  487.821   -13.28   -14.61    -0.06   0.19   0.14    0.2 
ab14 200.90846865 59.10816643  657.639   -21.68    -7.06     0.72   0.15   0.17   0.31 
ab15 200.12163876 61.03975319  560.331   -24.13    -3.68     0.01   0.12   0.13   0.25 
ab17 199.30526893 63.88635956  117.444   -24.75     -3.5    -0.51   0.13   0.17   0.26 
ab18 197.3864928 66.8583637   37.140   -25.37    -4.89    -1.86    0.2   0.44   0.26 
ab21 183.33735307 51.86414984   59.356   -11.01   -11.81     3.99   0.14   0.11   0.28 
ab22 205.30174145 59.89932077  199.801   -27.97    -3.32     3.51   0.12   0.09   0.27 
ab25 203.97660915 62.92931064  961.035    -25.8    -4.84     1.31   0.28   0.25    0.4 
ab27 203.09511077 67.05588649  508.112   -23.55    -5.21    -0.32   0.08   0.07   0.23 
ab28 207.18508279 62.09381598 1582.677   -27.88    -7.87     5.12   0.11   0.18   0.22 
ab33 209.82745629 67.25101294  334.785   -23.23    -7.18    -0.53   0.08    0.1   0.31 
ab35 217.61012905 60.0790657  536.713     15.7    -30.9    11.72   0.18   0.08    0.3 
ab36 209.25601587 65.0303991  816.501   -23.88     -6.8     2.04   0.44   0.18   0.29 
ab37 214.54812764 62.96732228 1136.567     -9.5   -24.18      6.1   0.09   0.17   0.18 
ab39 214.78736925 66.55934623  147.699   -21.25    -9.48    -2.33   0.11   0.09   0.38 
ab41 218.84193353 64.77732614  285.980   -18.85   -10.18    -2.68   0.13   0.09   0.28 
ab42 221.1011892 59.34037513  773.209    15.44   -33.54    24.23   0.27    0.2   0.59 
ab43 223.35919223 58.19884214   26.919    -6.48   -19.05    19.49   0.11   0.06   0.37 
ab44 224.77170235 59.52803899  304.118   -10.09   -10.66    17.03   0.07   0.05   0.24 
ab45 211.12884855 68.76049505  507.018   -22.19    -7.87    -0.13   0.07   0.06   0.24 
ab46 214.43209893 68.12067193  647.925   -20.66    -8.37    -3.35   0.15   0.09   0.52 
ab48 225.35300397 56.24506285    5.258    -9.07   -14.11     0.98   0.11   0.07   0.21 
ab49 226.9315133 55.58010186   17.547   -10.87   -13.62     1.61   0.08   0.14   0.24 
ab50 225.45469956 58.41677581   51.473   -14.39   -13.63    20.45   0.11   0.09   0.49 
ab51 227.08643992 56.79762343   75.797   -13.47   -16.39    12.53   0.08    0.1   0.32 
ab53 227.13275342 56.58475574 1016.138   -14.43   -16.22     13.5   0.18   0.15   0.56 
abbz 166.90895183 -77.45688151 1735.673   -11.03     9.67    -0.56   0.14    0.1   0.37 
abeb 357.91977787 57.14400726   53.476     15.6     14.9     1.01   0.13   0.07   0.21 
abgs 99.38752105 0.22082452  235.839    12.76    26.43      1.6   0.13   0.12   0.27 
abmf 298.47246349 16.26230539  -25.572    15.48    11.19    -0.54   0.07   0.08   0.25 
abpo 47.22921166 -19.01830604 1552.959    14.48    18.56     0.25   0.07   0.09   0.21 
abvi 295.66751484 18.72968391  -35.612    14.87     8.39     0.21   0.12   0.15   0.46 
ac02 205.81695588 56.95058595  126.842    -2.63   -18.95     1.74   0.13   0.14   0.26 
ac03 208.1354667 59.77063818   19.599   -27.75    -6.61     9.62   0.23   0.21   0.22 
ac06 209.1094421 59.7636378  631.390   -16.65   -11.72      9.2   0.21   0.12   0.19 
ac07 198.7133841 65.96129332  176.326   -24.24    -3.34    -0.56   0.09   0.06   0.23 
ac08 206.35530015 58.92877533  644.152   -23.07    -7.61     8.37    0.2   0.17   0.26 
ac09 215.4761534  59.868478  368.875     9.75   -28.66     2.82   0.83   0.33   0.28 
ac10 195.11327172 54.52258172  170.470   -21.85   -10.35     3.69   0.11   0.15   0.26 
ac11 211.66825415 61.80707952  790.831    -8.04   -18.68     8.94   0.26   0.17   0.31 
ac12 200.41043839 54.83096326   84.410   -12.26   -13.08    -1.81   0.15   0.14   0.26 
ac13 204.37760011 55.82189639  222.824    12.39   -24.63   -10.82   0.19    0.1   0.19 
ac14 212.00041997 60.84870064  748.707    17.07   -25.33     3.74   0.35   0.27   0.55 
ac15 210.27599422 60.48133285  151.409    -4.38    -18.6     8.93   0.16   0.18   0.22 
ac16 211.90676617 60.51820409   34.059    22.06   -26.69     1.37   0.32   0.21   0.69 
ac17 207.59615407 60.66390329  882.554   -29.98    -5.85    10.49   0.21   0.15   0.27 
ac18 207.75046891 58.9259584  214.691   -24.97    -7.51     8.63   0.14   0.09   0.18 
ac19 206.39266733 62.51921389  546.501    -25.6     -6.9     3.03   0.12   0.13   0.27 
ac20 210.64749754 60.9292077   43.639    -7.75   -19.27     8.44   0.27   0.09   0.33 
ac21 200.87227823 55.92109025  170.941   -13.89   -14.82    -0.35   0.21   0.11   0.19 
ac23 209.12204638 60.4750932   80.774   -21.34   -11.41     7.94   0.22   0.07   0.28 
